image_name,question,correct_answer,question_type,answer_type,map_type,image_size_bucket,geographic_level
1.webp,Which territory occupied in 1967 appears furthest south on this image?,Sinai,"['Visual', 'Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_country
1.webp,How many bodies of water are visible on this map?,3,['Visual'],Counting,_conflict,0.5–2MP,_country
1.webp,What type of line marks the borders of territories occupied by Israel in 1967?,Dashed grey lines,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country
1.webp,Which occupied territory shares borders with both Syria and Lebanon?,Golan Heights,['Positional'],Single Entity,_conflict,0.5–2MP,_country
1.webp,What is the color used to represent land occupied by Israel in 1967?,Light beige or tan,['Visual'],Single Entity,_conflict,0.5–2MP,_country
1.webp,Which news organization's logo appears on this map?,BBC,['Visual'],Single Entity,_conflict,0.5–2MP,_country
1.webp,How is Jerusalem marked differently from other locations on this map?,With a circle symbol,['Visual'],Reasoning,_conflict,0.5–2MP,_country
1.webp,Which occupied territory appears largest by area on this specific image?,Sinai,"['Visual', 'Comparative']",Single Entity,_conflict,0.5–2MP,_country
1.webp,Which country appears at the northeastern corner of this map?,Syria,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country
1.webp,What geographical feature appears as light blue areas within Israel's territory?,Lakes/water bodies,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country
2.webp,which city is the most west?,Zaporizhzhia,"['Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_region
2.webp,which city is Pokrovsk farthest from?,Melitipol,['Comparative'],Single Entity,_conflict,0.5–2MP,_region
2.webp,which classification is Zaporizhzhia under?,none,['Comparative'],Single Entity,_conflict,0.5–2MP,_region
2.webp,how many of the cities are in Russian military control?,5,['Other'],Counting,_conflict,0.5–2MP,_region
2.webp,how many of the cities are in Held or regained by Ukraine?,0,['Other'],Counting,_conflict,0.5–2MP,_region
2.webp,how many of the cities are in Limited Russian Military control?,0,['Other'],Counting,_conflict,0.5–2MP,_region
2.webp,what category is Kharkiv under?,none,['Comparative'],Single Entity,_conflict,0.5–2MP,_region
2.webp,which countries can be seen?,"Russia, Ukraine",['Visual'],Listing,_conflict,0.5–2MP,_region
2.webp,how many different categories are there?,4,['Other'],Counting,_conflict,0.5–2MP,_region
2.webp,which city is the most north?,Kharkiv,"['Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_region
3.png,Which U.S. state shows a high density of both red and blue dots in its southern region,Texas,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,In which region of the U.S. are red dots most concentrated?,Southwest,"['Visual', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Which U.S. state has a large cluster of red dots along its western edge?,California,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Are there more red or blue dots in Florida?,Blue,"['Visual', 'Comparative']",Boolean,_marker,0.1–0.5MP,_country
3.png,Which Midwestern city shows a high density of blue dots near a large lake?,Chicago,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Which state has the least visible red and blue dots across its entire area?,Wyoming,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Is New York City more densely populated by blue or red dots?,Blue,"['Visual', 'Comparative']",Boolean,_marker,0.1–0.5MP,_country
3.png,What color dominates along the southern border of Arizona?,Red,"['Visual', 'Positional']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Which color appears more frequently in Georgia?,Blue,"['Visual', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country
3.png,Which major city in Texas shows a dense concentration of both red and blue dots?,Houston,['Visual'],Single Entity,_marker,0.1–0.5MP,_country
